LAND_SF,YR_BUILT,NUM_FLOORS,NUM_PARK,NUM_RMS,NUM_BDRMS,NUM_FULL_BTH,NUM_HALF_BTH,ZIP_CODE,AV_TOTAL
3697.0,1918.0,2.0,0.0,12.0,4.0,2.0,0.0,2128.0,489900
7446.0,1870.0,1.5,0.0,9.0,3.0,1.0,0.0,2136.0,428700
3333.0,1900.0,2.5,0.0,10.0,8.0,2.0,1.0,2124.0,303900
5250.0,1900.0,2.0,0.0,7.0,3.0,1.0,0.0,2124.0,377500
7318.0,1929.0,3.0,0.0,0.0,0.0,0.0,0.0,2136.0,312500
3977.0,1922.0,1.0,0.0,9.0,4.0,2.0,1.0,2132.0,450700
5124.0,1905.0,3.0,0.0,0.0,0.0,0.0,0.0,2122.0,0
1052.0,2000.0,1.0,1.0,4.0,2.0,2.0,0.0,2118.0,860100
5500.0,1910.0,2.5,0.0,14.0,7.0,3.0,0.0,2131.0,772600
1285.0,2003.0,1.0,1.0,4.0,2.0,2.0,0.0,2125.0,412400
7716.0,1945.0,2.0,0.0,7.0,4.0,1.0,1.0,2122.0,427300
8800.0,1925.0,2.0,0.0,11.0,5.0,2.0,0.0,2128.0,594100
4328.0,1910.0,3.0,0.0,15.0,6.0,3.0,0.0,2135.0,849400
140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124.0,500
3600.0,1905.0,3.0,0.0,16.0,6.0,3.0,0.0,2125.0,751300
14110.0,1950.0,2.0,0.0,8.0,4.0,2.0,0.0,2126.0,474100
1260.0,1999.0,4.0,0.0,0.0,0.0,0.0,0.0,2116.0,0
1413.0,1964.0,1.0,0.0,5.0,3.0,2.0,0.0,2114.0,803400
1662.0,1905.0,2.0,0.0,6.0,2.0,2.0,1.0,2127.0,727200
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2118.0,556500
5200.0,1836.0,1.5,0.0,7.0,3.0,2.0,0.0,2125.0,319700
1995.0,1899.0,3.0,1.0,6.0,3.0,2.0,1.0,2118.0,1993000
4097.0,1905.0,3.0,0.0,18.0,9.0,3.0,0.0,2121.0,536200
6529.0,1900.0,2.5,0.0,0.0,0.0,0.0,0.0,2131.0,0
4250.0,1920.0,4.0,0.0,0.0,0.0,0.0,0.0,2115.0,2190750
5000.0,1900.0,2.0,0.0,12.0,8.0,4.0,0.0,2134.0,795900
763.0,1880.0,1.0,0.0,4.0,2.0,1.0,0.0,2127.0,516800
1528.0,2004.0,1.0,1.0,5.0,2.0,2.0,0.0,2116.0,1611500
1768.0,2004.0,2.0,1.0,6.0,2.0,2.0,1.0,2210.0,1198400
375.0,1900.0,1.0,1.0,4.0,1.0,1.0,0.0,2132.0,153700
2114.0,1906.0,1.0,2.0,5.0,2.0,2.0,0.0,2127.0,1734200
1232.0,2013.0,2.0,1.0,4.0,2.0,1.0,0.0,2128.0,601900
1974.0,1999.0,3.0,0.0,0.0,0.0,0.0,0.0,2118.0,0
496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2129.0,24800
1040.0,1930.0,1.0,0.0,4.0,2.0,1.0,0.0,2127.0,605100
1034.0,1905.0,1.0,1.0,4.0,2.0,2.0,0.0,2130.0,518900
2035.0,1985.0,2.5,1.0,5.0,2.0,2.0,1.0,2467.0,459400
556.0,1920.0,1.0,0.0,3.0,1.0,1.0,0.0,2135.0,272600
11283.0,1930.0,2.0,0.0,8.0,3.0,1.0,1.0,2136.0,403000
1990.0,1950.0,2.0,0.0,7.0,3.0,2.0,1.0,2131.0,313500
1919.0,1900.0,3.0,0.0,18.0,9.0,3.0,0.0,2121.0,359200
1455.0,1880.0,2.0,0.0,5.0,2.0,2.0,0.0,2129.0,823100
1780.0,1899.0,4.0,0.0,0.0,0.0,0.0,0.0,2118.0,0
12136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128.0,219700
469719.0,1899.0,3.0,0.0,0.0,0.0,0.0,0.0,2115.0,174021000
4697.0,1910.0,2.5,0.0,15.0,6.0,3.0,0.0,2136.0,538600
3423.0,1905.0,3.0,0.0,15.0,6.0,3.0,0.0,2122.0,475400
1132.0,2015.0,1.0,0.0,4.0,2.0,2.0,0.0,2127.0,822700
1266.0,1920.0,1.0,0.0,4.0,1.0,1.0,0.0,2135.0,349500
