train score: 0.17640596226926253, test score:0.1983291877002716275821.8115798385, 498700
415750.3324562827, 473600
205666.38109210727, 416500
496944.2597821906, 504900
109150.32123822907, 20000
182214.32007624494, 725700
134949.07551641302, 42500
143070.312065681, 43000
520117.2984733477, 249200
373989.9625189036, 752100
262958.4468668326, 461000
653317.493295709, 958700
16379.051652621753, 0
310650.552502792, 1231500
235521.20453225795, 572800
700461.2748194361, 821400
279953.2000932209, 393900
10068.12679225229, 0
109150.32123822907, 28600
1425079.8641573442, 345099
205727.64805876702, 500500
610501.3213197716, 275900
460971.25150162255, 421900
329291.43800881284, 589200
454399.2040402565, 345700
148224.90856192622, 852300
329339.29659608594, 349300
126425.00183509378, 1159200
3536002.959778815, 733000
339393.6998161698, 691200
509701.3578103523, 709567
281359.3605410715, 472700
964493.8619630293, 462500
6268.14192616639, 2260500
93322.14377343055, 224800
109150.32123822907, 32000
148267.94846557057, 462900
224768.59555812535, 560700
195480.046388886, 1216900
205239.6263207625, 337300
221456.98634082175, 202400
121146.2363851238, 854900
549018.759354101, 704800
147244.60446759046, 20700
19074.753706796288, 5784000
109150.32123822907, 91000
274100.0335939164, 708000
1489075.5528913934, 1037900
109150.32123822907, 412229
821194.0199023453, 555900
1816223.7598615654, 437900
109150.32123822907, 300000
456546.1847620842, 907700
325650.97050734144, 295100
179768.08398919075, 15451500
389115.2564384839, 870400
181483.6012870851, 4929900
327674.0458345999, 858000
271115.7503035752, 727500
109150.32123822907, 600500
109150.32123822907, 184500
109150.32123822907, 23600
842834.0891504964, 498200
148053.685629916, 368900
388415.28847659496, 740400
66786.60610359743, 754300
496213.03480103315, 424200
148117.7192675051, 642200
287807.21060351306, 936400
422923.87528736144, 490200
90808.98467348953, 468100
148267.94846557057, 843000
147694.7410103003, 314400
6528996.687511661, 602800
932.241776586338, 0
20028.069771790004, 936500
49982.95931429213, 218000
109150.32123822907, 10000
200611.83035653824, 807700
2791066.073031626, 1007500
109150.32123822907, 300000
732811.21985388, 535800
325317.21273504134, 273400
2528375.691058757, 306500
425292.893068686, 1041625
388415.28847659496, 878900
752709.1566944276, 498500
29552.412513772622, 0
1145099.75143808, 324300
109150.32123822907, 37000
106282.83034528235, 256000
645585.2584701647, 708400
12541.999458425835, 0
2948617.6863776883, 607800
277063.60036066273, 167500
515708.34068883705, 329780
148053.685629916, 696600
498697.7886175163, 461700
206282.48351339815, 876500
147862.8329147894, 353600
180683.91213260358, 1170300
90722.18053957116, 651800
133707.37132675477, 34100
288772.1168886584, 601300
212409.97571576157, 588700
130087.74710253673, 3642000
109150.32123822907, 56000
148875.98271093087, 344514
148139.11036871144, 418400
400693.8695656738, 446300
610501.3213197716, 384200
230553.0166841645, 818100
86086.68555098178, 4480000
447941.3871203612, 811800
57279.27504687684, 352500
684474.5655207695, 183424
324808.0229720751, 490900
154273.00861396448, 8506340
91934.82189257002, 238800
42414.355871096996, 174472
334551.3304348898, 689100
416483.96938866423, 627500
147694.7410103003, 546400
148203.42386920142, 547000
586050.0254778231, 481300
962587.0133588258, 981700
148139.11036871144, 525300
143933.19350825137, 30000
271231.689518178, 470100
93190.9541343927, 419500
390524.98000703286, 1245000
263944.32476496947, 1277900
163781.94398899618, 72200
8540.399061236038, 0
152146.1535090117, 247921
308522.2400326909, 489700
79565.05762409224, 746700
1148313.746551503, 426800
430233.89614086115, 561700
439021.49636039126, 411900
961333.3103269967, 2392290
109150.32123822907, 1900
66895.12228829252, 403300
148032.38751354883, 339480
211029.20378476268, 866600
373537.2888665474, 324300
1738676.4952768285, 290100
396762.76672819, 597300
335016.2687868165, 419500
345500.29554346786, 742100
146090.29950283124, 507100
824873.0001513048, 765500
109150.32123822907, 60000
43282.87207810456, 0
645060.4826625118, 1524100
2461.496964566095, 21156000
1562683.6307660365, 2207500
696103.8521948893, 759200
200305.4446332627, 467500
107566.5152604983, 469200
109150.32123822907, 21900
147322.38856520812, 628818
170422.9996975451, 440300
76450.10737251159, 2234700
580221.3172764524, 589700
367031.051809807, 225900
235521.20453225795, 531800
302995.0017793787, 395200
374037.42007087654, 446700
79707.03349229797, 325000
284116.51342050015, 586600
830260.057237375, 433300
164929.80578493775, 1833930
106254.71323604061, 181000
3052897.260059964, 3063750
398277.34629426774, 458800
429907.9561727582, 463500
93156.06913005516, 767400
194891.82383187505, 576100
2364499.309593582, 2942800
1076671.8280641662, 1313400
48141.320258259795, 0
279642.9841411945, 542700
43918.51214944918, 0
1109720.5846154967, 636500
206718.33859027078, 868400
235179.36962304398, 501900
267071.8967597818, 404000
277427.516891167, 562800
106766.29535973522, 0
318841.7364280984, 542600
119738.55121613723, 1485200
1057029.6673834426, 381800
1059895.2172422337, 821700
416483.96938866423, 690100
6344.39119843401, 0
148053.685629916, 549100
434266.4811960949, 416100
385647.5442759917, 660100
278325.37055648427, 475300
329432.00902349123, 551300
2939315.2041109274, 265562
331673.19315907115, 1158600
6285.062397167012, 1379000
34316.426849503485, 367000
178874.88544546807, 4636500
645234.2601106676, 799600
711093.3829019048, 904800
6344.39119843401, 0
205239.6263207625, 428000
386794.5695614722, 236500
662443.4482860833, 1738400
206593.41987342204, 446500
858990.345791812, 842900
221921.7223399377, 441800
255096.9541920161, 566700
206406.62555292883, 700500
109150.32123822907, 71000
2913784.849540145, 769600
28754862.891167264, 675700
173308.12662523752, 15962500
206843.5699801414, 462600
93204.86566007954, 513300
387189.5061904142, 468700
109150.32123822907, 120000
369780.4383852937, 417600
197425.24315123956, 269700
548609.522044225, 666200
290845.0687070733, 450100
42439.94074604233, 915256
